Name,WHO_Region,Cases_cumulative_total,Cases_cumulative_total_per_100000_population,Cases_newly_reported_in_last_7_days,Cases_newly_reported_in_last_7_days_per_100000_population,Cases_newly_reported_in_last_24_hours,Deaths_cumulative_total,Deaths_cumulative_total_per_100000_population,Deaths_newly_reported_in_last_7_days,Deaths_newly_reported_in_last_7_days_per_100000_population,Deaths_newly_reported_in last_24_hours
Central African Republic,Africa,13509,279.703,859,17.786,190,109,2.257,3,0.062,1
Cayman Islands,Americas,12023,18294.279,357,543.214,0,14,21.302,2,3.043,0
Faroe Islands,Europe,11948,24451.039,3369,6894.505,635,15,30.697,0,0,0
Gambia,Africa,11572,478.841,450,18.621,0,347,14.359,3,0.124,0
San Marino,Europe,11278,33231.186,1059,3120.396,201,106,312.334,3,8.84,1
Gibraltar,Europe,11216,33290.79,968,2873.171,152,100,296.815,0,0,0
Guernsey,Europe,10564,16386.424,429,665.446,55,30,46.535,0,0,0
Yemen,Eastern Mediterranean,10507,35.228,274,0.919,58,1995,6.689,8,0.027,3
Grenada,Americas,10427,9266.55,1826,1622.779,726,204,181.296,3,2.666,1
Bermuda,Americas,9144,14683.731,1264,2029.772,0,110,176.642,0,0,0
Eritrea,Africa,9115,257.02,462,13.027,30,89,2.51,5,0.141,0
Greenland,Europe,9014,15877.545,2561,4511.027,224,4,7.046,2,3.523,2
Sint Maarten,Americas,8798,20516.767,1905,4442.423,118,75,174.899,0,0,0
Niger,Africa,8472,34.999,212,0.876,13,293,1.21,7,0.029,0
Dominica,Americas,7957,11052.77,290,402.828,0,48,66.675,1,1.389,0
Comoros,Africa,7784,895.123,105,12.075,39,159,18.284,1,0.115,0
Liechtenstein,Europe,7671,19797.662,517,1334.297,0,67,172.917,0,0,0
Sierra Leone,Africa,7562,94.798,180,2.256,18,125,1.567,2,0.025,0
Saint Martin,Americas,7517,19444.373,2295,5936.522,0,40,103.469,0,0,0
Guinea-Bissau,Africa,7222,366.971,414,21.037,82,153,7.774,3,0.152,0
Liberia,Africa,7208,142.516,87,1.72,87,288,5.694,1,0.02,1
Monaco,Europe,7041,17941.596,775,1974.824,98,45,114.667,1,2.548,1
Chad,Africa,6889,41.94,331,2.015,0,185,1.126,0,0,0
Saint Vincent and the Grenadines,Americas,6604,5952.767,42,37.858,0,88,79.322,3,2.704,0
Sao Tome and Principe,Africa,5651,2578.493,416,189.817,17,66,30.115,1,0.456,0
British Virgin Islands,Americas,5449,18020.968,502,1660.218,0,47,155.439,7,23.15,0
Bonaire,Americas,5366,25656.228,902,4312.694,61,26,124.313,2,9.563,0
Antigua and Barbuda,Americas,5346,5459.057,177,180.743,0,121,123.559,1,1.021,0
Turks and Caicos Islands,Americas,5195,13417.532,713,1841.521,85,30,77.483,3,7.748,0
Saint Kitts and Nevis,Americas,5065,9522.109,581,1092.27,39,28,52.639,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,4067,7066.039,316,549.021,53,21,36.486,1,1.737,0
Bhutan,South-East Asia,3317,429.881,444,57.542,88,3,0.389,0,0,0
Saint Barthélemy,Americas,2952,29863.429,502,5078.402,0,4,40.465,0,0,0
Anguilla,Americas,2187,14578.056,245,1633.116,78,7,46.66,1,6.666,0
Other,Other,764,,0,,0,13,,0,,0
Saint Pierre and Miquelon,Americas,583,10060.397,229,3951.682,59,0,0,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,261,8314.75,48,1529.149,0,0,0,0,0,0
Saba,Americas,194,10036.213,27,1396.793,6,0,0,0,0,0
Palau,Western Pacific,189,1044.661,150,829.096,22,0,0,0,0,0
Montserrat,Americas,148,2960.592,30,600.12,2,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,85,2440.425,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,37,30.976,37,30.976,0,0,0,0,0,0
Solomon Islands,Western Pacific,33,4.804,8,1.165,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,18,32.61,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,2,1.008,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
